State,County,Count
Colorado,Delta,1
Colorado,Eagle,1
Colorado,Fremont,1
Colorado,Garfield,1
Colorado,Grand,1
Colorado,Jackson,4
Colorado,Jefferson,1
Colorado,Larimer,3
Colorado,Mesa,1
Colorado,Morgan,1
Colorado,Rio Blanco,1
Colorado,Rio Grande,1
Colorado,Routt,2
Colorado,Weld,4
Illinois,Boone,1
Iowa,Buchanan,1
Iowa,Cerro Gordo,1
Iowa,Davis,1
Iowa,Pottawattamie,2
Iowa,Van Buren,2
Kansas,Harper,1
Kansas,Osage,1
Kansas,Rawlins,1
Michigan,Kent,1
Michigan,Mecosta,2
Michigan,Montcalm,1
Michigan,Newaygo,1
Minnesota,Aitkin,1
Minnesota,Crow Wing,1
Minnesota,Douglas,1
Minnesota,Houston,1
Minnesota,Lac Qui Parle,1
Minnesota,Meeker,1
Minnesota,Olmsted,1
Minnesota,Pine,1
Minnesota,Ramsey,1
Minnesota,Stearns,1
Minnesota,Winona,1
Missouri,Linn,1
Missouri,Macon,1
Montana,Flathead,1
Montana,Granite,1
Montana,Hidden at State's request,1
Nebraska,Buffalo,1
Nebraska,Cherry,1
Nebraska,Cheyenne,1
Nebraska,Dawes,2
Nebraska,Garden,1
Nebraska,Sioux,2
New York,Oneida,2
Ohio,Holmes,3
Ohio,Wayne,1
Oklahoma,Lincoln,1
Oklahoma,Oklahoma,1
Pennsylvania,Adams,1
Pennsylvania,Bedford,6
Pennsylvania,Blair,3
Pennsylvania,Cambria,1
Pennsylvania,Clearfield,1
Pennsylvania,Franklin,2
Pennsylvania,Fulton,6
Pennsylvania,Jefferson,2
Pennsylvania,Lancaster,2
Pennsylvania,Perry,1
Pennsylvania,Somerset,1
South Dakota,Butte,1
South Dakota,Clark,1
South Dakota,Custer,1
South Dakota,Fall River,1
South Dakota,McPherson,2
South Dakota,Meade,1
South Dakota,Pennington,2
Texas,Kimble,1
Texas,Lavaca,1
Texas,Medina,3
Texas,Uvalde,1
Utah,Duchesne,1
Utah,San Juan,1
Utah,Weber,1
Wisconsin,Burnett,2
Wisconsin,Crawford,1
Wisconsin,Dane,1
Wisconsin,Eau Claire,1
Wisconsin,Forest,1
Wisconsin,Iowa,2
Wisconsin,Jefferson,1
Wisconsin,Manitowoc,1
Wisconsin,Marathon,1
Wisconsin,Marinette,1
Wisconsin,Oconto,1
Wisconsin,Oneida,1
Wisconsin,Portage,4
Wisconsin,Racine,1
Wisconsin,Richland,2
Wisconsin,Sauk,2
Wisconsin,Shawano,1
Wisconsin,Trempealeau,1
Wisconsin,Walworth,2
Wisconsin,Washington,1
Wisconsin,Waupaca,1
