State Name,White-tailed Deer,Mule Deer,Black-tailed Deer,Other
Alabama,1750000,0,0,0
Alaska,0,0,333000,0
Arizona,50000,85000,0,0
Arkansas,900000,0,0,0
California,0,460420,0,0
Colorado,427500,0,0,0
Connecticut,101000,0,0,0
Delaware,45000,0,0,0
Florida,550000,0,0,800
Georgia,1270000,0,0,0
Hawaii,0,0,950,90000
Idaho,520000,249691,0,0
Illinois,660000,0,0,0
Indiana,680000,0,0,0
Iowa,445000,0,0,0
Kansas,646000,53400,0,0
Kentucky,900000,0,0,0
Louisiana,500000,0,0,0
Maine,280000,0,0,0
Maryland,207000,0,10000,0
Massachusetts,95000,0,0,0
Michigan,1700000,0,0,0
Minnesota,900000,0,0,0
Mississippi,1750000,0,0,0
Missouri,1400000,0,0,0
Montana,212814,293950,0,0
Nebraska,300000,90000,0,0
Nevada,0,84000,0,0
New Hampshire,100000,0,0,0
New Jersey,125000,0,0,0
New Mexico,0,80000,0,10000
New York,1200000,0,0,0
North Carolina,1000000,0,0,0
North Dakota,135000,21000,0,0
Ohio,700000,0,0,0
Oklahoma,750000,1750,0,0
Oregon,0,170000,320000,0
Pennsylvania,1400000,0,0,0
Rhode Island,18000,0,0,0
South Carolina,730000,0,0,0
South Dakota,425000,80600,0,0
Tennessee,900000,0,0,0
Texas,5300000,227392,0,0
Utah,1000,314850,0,0
Vermont,133000,0,0,0
Virginia,850000,0,0,0
Washington,90000,90000,90000,1200
West Virginia,550000,0,0,0
Wisconsin,1600000,0,0,0
Wyoming,72900,330700,0,0
